Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
595,Filip,Vaclavik,1995,CZE,85.55,2,1,71,14
596,Luka,Dumančić,1998,CRO,83.61,2,0,84,0
597,Ryan,Luczak,2001,USA,82.4,1,0,82,0
598,Mohamed Aziz,Hamdi,2004,TUN,82.36,1,0,82,0
599,Chris,Deegan,1996,AUS,81.93,1,2,9,73
600,Andres,Barrionuevo,1996,ECU,81.82,0,3,0,82
600,Santiago,Sierra,2001,URU,81.82,1,1,69,13
602,Kenshin,Mori,1999,JPN,81.31,2,0,81,0
603,Marcus,Dey,2001,GBR,81.29,1,2,34,47
604,Eirik,Berling Grande,2005,NOR,81.27,2,0,81,0
605,Alikhan,Abusseit,2002,KAZ,81.06,1,0,81,0
606,Kelvin,Gomez,1992,GBR,80.94,2,0,81,0
607,Raphael,Montoya,1995,FRA,80.65,0,3,0,81
608,Louis,Woodgate,2002,GRE,80.63,2,0,81,0
609,Ali,Aldashti,1995,KUW,80.39,1,0,80,0
610,Amin,Saghaeidehkordi,1998,IRI,80.37,1,0,80,0
611,Max,Walther,2003,FIN,80.28,2,0,80,0
612,Pieter,Hoornstra Solano,2004,CRC,80.21,1,0,80,0
612,Hernando,Serna Cordoba,2001,COL,80.21,1,0,80,0
614,Arturo,Guzmán Medina,2004,COL,80.16,2,0,80,0
615,Constantine,Doherty,1995,IRL,79.83,0,5,0,80
616,Murat,Zhaken,2003,KAZ,79.8,1,0,80,0
617,Linus,Lehnen,2000,GER,79.79,3,1,53,27
618,Cédric,Simard,2003,CAN,78.83,2,0,79,0
619,Robert,Czysz,1994,POL,78.74,3,0,79,0
620,Mark,Mandic,1998,SLO,77.54,1,2,52,26
621,Borislav,Palashev,2002,BUL,77.45,2,0,77,0
622,Mikko,Karppinen,1990,FIN,77.24,2,1,64,13
622,Guillem,Montiel Moreno,1999,ESP,77.24,2,1,64,13
624,Cameron,Harris,1998,GBR,76.59,3,3,30,46
625,Tamim Jamal,Al-Kuwari,2000,QAT,76.18,1,0,76,0
626,Dixon,Hernandez,2006,VEN,76.16,2,0,76,0
627,Silas,Engel Plambæk,2003,DEN,75.52,2,0,76,0
628,Chan Uk,Park,1999,KOR,74.88,2,0,75,0
629,Robert,Matto,1975,GIB,74.87,2,0,75,0
629,Ola,Rasmussen Vestbø,2003,NOR,74.87,2,0,75,0
631,Klemen,Bojanc,1998,SLO,74.8,1,3,38,37
632,Osama,Burahmah,1994,KUW,74.36,1,0,74,0
633,Josue Antonio,Moran Martinez,2003,ESA,74.2,1,0,74,0
633,Alejandro,Villota,2006,COL,74.2,1,0,74,0
635,Ji Min,Hong,2005,KOR,73.81,1,0,74,0
636,Vinicius,Avi Santana,2005,BRA,73.29,1,0,73,0
637,Finnley,Oliver,2006,NZL,73.14,1,0,73,0
638,Pau,Gonzalez-Espresati Clement,2002,ESP,73.13,4,1,70,3
639,Miguel,Guzman Tafalla,2003,ESP,72.88,3,0,73,0
640,Troy,Whittington,1999,AUS,72.54,1,2,16,57
641,Adrian,Martinez Bayan,2002,ESP,72.51,3,0,73,0
642,Joona,Tuikka,1988,FIN,71.66,2,0,72,0
643,Joshua,Neervoort,2005,AUS,71.33,1,0,71,0
644,Ran,Sagiv,1997,ISR,71.19,0,3,0,71
645,Vicente,Torrealba,2003,CHI,70.63,2,0,71,0
646,Zach,Leachman,2001,USA,70.5,1,0,71,0
647,Dawser,Rezgui,2004,TUN,70.47,1,0,70,0
648,Zhengyu,Duan,1996,CHN,70.41,1,0,70,0
649,Braxton,Bokos,2004,USA,70.35,3,0,70,0
650,Javier,Coscolla Paraled,2001,ESP,69.87,1,0,70,0
651,Jaspar,Ortfeld,2003,GER,69.75,3,0,70,0
652,Alexander,Kull,2000,GER,69.41,1,0,69,0
653,Rashif,Amila Yaqin,2002,INA,69.35,1,0,69,0
654,Tuur,Lemmens,1997,BEL,69.15,1,2,27,42
655,Mohammed,Al Gheilani,2005,OMA,68.79,1,0,69,0
656,Daniel Oswaldo,Garcia Soto,2002,GUA,68.63,1,0,69,0
656,Nicolas,Gomez,2004,COL,68.63,1,0,69,0
658,Danil,Porodnov,2003,KAZ,68.28,1,0,68,0
659,Rodrigo,Pacheco Gajá,2005,MEX,67.79,1,0,68,0
660,Coen,Anderson,2006,NZL,67.65,1,0,68,0
661,Kirimaru,Masuda,1996,JPN,67.59,2,0,68,0
662,Keegan,Cooke,1997,RSA,67.27,0,1,0,67
662,Jesse,Cuijpers,2002,NED,67.27,2,3,47,21
664,Divan,Du Plooy,2001,"NAM",67.03,1,2,15,52
665,Samuel,O'shea,1998,GIB,67.02,2,0,67,0
666,Arturo,Salinas,2003,CHI,66.94,2,0,67,0
667,Jonathan,Wayaffe,1995,BEL,66.82,1,1,50,17
668,Henrik,Goesch,1994,FIN,66.67,1,1,50,17
669,Samuel,Mileham,1998,AUS,66.4,2,2,53,13
670,Alex,Brackenbury,2003,NZL,66.1,1,0,66,0
671,Guillem,Segura Arnau,1996,ESP,66.06,2,0,66,0
672,Frederick,Webb,1999,GBR,66.04,0,3,0,66
673,Mohamad,Maso,1993,SYR,65.29,0,2,0,65
674,Alejandro,Dominguez Romero,2003,PER,65.21,1,0,65,0
675,Zhao,Tan,2003,CHN,65.13,1,0,65,0
676,Luka,Kosovel,2002,SLO,64.41,2,0,64,0
677,Jorge Luis,Fuentes,1983,MEX,64.28,1,1,28,37
678,Gyuseo,Choi,1994,KOR,63.61,1,0,64,0
679,Davide,Uccellari,1991,ITA,63.5,2,2,30,34
680,Santiago,Buchmann,2002,ARG,63.49,1,0,63,0
680,Jacobo,Rios,2001,COL,63.49,1,0,63,0
680,Mijael Alejandro,Rojas Huanaco,2004,BOL,63.49,1,0,63,0
680,Alexis Gabriel,Vasquez Fernandez,2004,DOM,63.49,1,0,63,0
684,Toby,Croudson,2000,AUS,62.92,0,3,0,63
