Rank,First_Name,Last_Name,YOB,NOC,TotalPoints,EvsCurr,EvsPrev,PtsCurr,PtsPrev
595,Çığıl,Uzun,2002,TUR,42.78,1,0,43,0
602,Sofia,Gelati,2003,BRA,42.46,1,0,42,0
603,Luna,Sraka,2006,SLO,42.15,2,0,42,0
604,Kanade,Sugiura,2007,JPN,41.8,1,0,42,0
605,Hannah,Milic,2001,CAN,40.85,1,0,41,0
606,Amelie,Hanf,2002,GER,40.41,1,0,40,0
607,Tanja,Kompan,1981,SLO,39.57,1,0,40,0
607,Liisa,Kull,1989,EST,39.57,1,0,40,0
607,Brita Cecilie,Mustad,1975,NOR,39.57,1,0,40,0
607,Rita,Simonics,2002,HUN,39.57,1,0,40,0
607,Salla,Viitikko,1987,FIN,39.57,1,0,40,0
612,Sofia,De Rosas,2005,ARG,39.28,1,0,39,0
613,Erica,Byram,1999,GBR,39.24,0,1,0,39
614,Alessandra,Tamburri,1996,ITA,39.2,0,3,0,39
615,Hinaka,Masuda,2004,JPN,38.66,1,0,39,0
616,Iveta,Fairaislova,1998,CZE,38.23,0,3,0,38
617,Fanni,Soós,1999,HUN,37.98,1,1,19,19
618,Hila,Aryas,2005,ISR,37.5,1,0,38,0
618,Brenda,Bwire,1992,KEN,37.5,0,1,0,38
618,Jane,Hansom,1969,SKN,37.5,1,0,38,0
618,Nina,James,2007,GRN,37.5,1,0,38,0
618,Sibora,Kadriu,NA,KOS,37.5,1,0,38,0
618,Janel,Susastra,2005,SGP,37.5,1,0,38,0
624,Sonja,De Koning,2005,NED,36.69,1,2,20,16
625,Emely,Häger,1988,FIN,36.6,1,0,37,0
625,Judit,Koronika,1984,HUN,36.6,1,0,37,0
625,Ziyi,Lin,2006,CHN,36.6,1,0,37,0
625,Yuki,Sugihara,1998,JPN,36.6,1,0,37,0
629,Lina Maria,Raga,1988,COL,36.45,0,1,0,36
630,Deborah,Fuller,1997,NZL,35.17,0,1,0,35
631,Maria,Czesnik,1977,POL,34.94,0,2,0,35
632,Karyn,Barnett,1986,GIB,34.69,1,0,35,0
632,Ariana Roxana,Chis,2005,ROU,34.69,1,0,35,0
632,Karina Del Valle,Clemant Materano,2001,VEN,34.69,1,0,35,0
632,Minttu,Hukka,1995,FIN,34.69,1,0,35,0
632,Inga,Karasek,1980,GRN,34.69,1,0,35,0
632,Kelsey,Mitchell,2003,AUS,34.69,0,2,0,35
632,Lirie,Peci,NA,KOS,34.69,1,0,35,0
632,Carina,Reicht,2001,AUT,34.69,1,0,35,0
632,Alice,Tinelli,2002,BRA,34.69,1,0,35,0
641,Weronika,Ptaszyńska,2003,POL,34.66,1,1,33,2
642,Bernadett,Józsa,2002,HUN,34.52,2,0,35,0
643,Sophia,Weiler,2002,GER,34.34,1,1,19,16
644,Rosa,Martìnez,1995,CHI,34.24,0,1,0,34
645,Tamara,Gomez Garrido,1991,ESP,33.94,0,1,0,34
646,Yui,Takeda,1999,JPN,33.74,1,0,34,0
647,Vera,Vilaca,1998,POR,33.69,0,3,0,34
648,Kinga,Bóna,2002,HUN,33.68,1,1,32,2
649,Rose-Emanuelle,Binette,2003,CAN,33.61,1,0,34,0
650,Sophie,Rohr,2000,GER,32.86,0,2,0,33
651,Batya,Beard,1998,USA,32.33,1,0,32,0
652,Vanesa,De La Torre,1995,MEX,32.1,0,1,0,32
653,Katherine Vanesa,Clemant Materano,1998,VEN,32.09,1,0,32,0
653,Altina,Demolli,NA,KOS,32.09,1,0,32,0
653,Alexandra Sophie,Iofciu,2006,ROU,32.09,1,0,32,0
653,Barbora,Jedlickova,2006,CZE,32.09,1,0,32,0
653,Luiza,Pais Da Costa,1985,BRA,32.09,1,0,32,0
653,Gabriela María,Rodríguez Rada,1994,GUA,32.09,1,0,32,0
653,Stefania,Salazar,2005,SVK,32.09,1,0,32,0
653,Tinkara,Stres,2005,SLO,32.09,1,0,32,0
653,María,Varo Zubiri,1993,ESP,32.09,1,0,32,0
653,Joanna,Woźniak,2001,POL,32.09,1,0,32,0
663,Cristina,Ventura,1997,ITA,31.39,0,1,0,31
664,Paola Judith,Zarate Leon,2006,MEX,31.09,1,0,31,0
665,Elina,Turunen,2005,FIN,30.86,2,0,31,0
666,Ema,Beke,2004,SVK,29.94,2,0,30,0
667,Maria José,López Aguirre,2002,MEX,29.85,0,2,0,30
668,Ella,Hnatyshyn,1997,CAN,29.83,1,1,24,6
669,Anna Maria,Besenyei,2004,ROU,29.68,1,0,30,0
669,Ema,Borscova,2005,SVK,29.68,1,0,30,0
669,Morgan,Branchoux,1995,FRA,29.68,1,0,30,0
669,Rafaela,Cananó Silva,2004,POR,29.68,1,0,30,0
669,Viktorija,Kalvelyte,1990,LTU,29.68,1,0,30,0
669,Giorgia,Priarone,1992,ITA,29.68,1,0,30,0
669,Emma,Ryšávková,2005,CZE,29.68,1,0,30,0
669,Roza,Sporcic,2005,CRO,29.68,1,0,30,0
677,Monika,Bartol,2003,SLO,29.15,0,2,0,29
678,Beatriz,Nunes Santos,2002,POR,28.84,0,2,0,29
679,Katerina,Mickova,2004,CZE,28.79,1,1,27,1
680,Alina,Codjambassis,2004,CHI,28.76,1,0,29,0
681,Carmen,Macheriotou,1986,CYP,28.23,0,2,0,28
682,Clara,Aulinas Prat,2001,ESP,27.45,1,0,27,0
682,Susanne,Aumair,1992,AUT,27.45,1,0,27,0
682,Ofek,Levinsky,2005,ISR,27.45,1,0,27,0
682,Charlotte,Moore,2004,IRL,27.45,1,0,27,0
682,Léna,Vaillier-Francois,2001,FRA,27.45,1,0,27,0
682,Anika,Visser,2005,RSA,27.45,1,0,27,0
688,Jessica,Pike,2003,AUS,27.17,0,1,0,27
689,Adrienn,Hangya,2001,HUN,26.19,1,1,23,3
690,Yiota,Chapoupi,1987,CYP,26.12,0,2,0,26
691,Zeljka,Milicic,1983,CRO,25.97,0,2,0,26
692,Grace,Hoitink,1997,AUS,25.13,0,1,0,25
693,Pamela,Tastets,1981,CHI,25.07,0,1,0,25
694,Kira,Ribbink,2003,RSA,23.8,0,1,0,24
695,Caroline,Pohle,1995,GER,23.74,0,1,0,24
696,Raz,Poradosu,1999,ISR,23.59,0,2,0,24
697,Jessica,Ashworth,2000,AUS,23.25,0,1,0,23
698,Raquel,Arostegui Gonzalez,1993,ESP,22.73,0,1,0,23
699,Tabea,Huys,2005,AUT,22.57,1,1,14,9
700,Gwen,Nothum,2006,LUX,22.13,1,0,22,0
701,Mikhaela,De Oliveira,2004,RSA,22.02,0,1,0,22
702,Camille,Buchanan,2002,USA,21.74,0,1,0,22
703,Julia,Sanecka,2001,POL,21.29,0,3,0,21
704,Makanaka,Mawere,2004,ZIM,20.36,0,1,0,20
705,Marina,Muñoz Hernando,1999,ESP,20.07,1,0,20,0
706,Raylan,Stroud,1996,CAN,20.04,1,0,20,0
707,Isabel,Sterr,1998,GER,19.92,0,2,0,20
708,Yaiza,Saiz Serrano,2000,ESP,19.45,0,1,0,19
709,Josette Umi Njeri,Kiarie,2003,KEN,18.67,0,1,0,19
709,Anta,Ndiaye,1995,SEN,18.67,0,1,0,19
711,Kira,Ellis,2006,PHI,17.73,1,0,18,0
712,Merili-Mai,Kivimets,2001,EST,17.62,0,2,0,18
713,Jenna,Seymour-Smith,2002,RSA,17.42,0,1,0,17
714,Vivian Wairimu,Hillier,2005,KEN,17.27,0,1,0,17
715,Kyla,Roy,1998,CAN,16.98,0,1,0,17
716,Pilar,Garcia Llorena,2000,ESP,16.82,0,1,0,17
717,Marta,Bernardi,1989,ITA,16.67,0,1,0,17
717,Natalia,Caballero,NA,URU,16.67,0,1,0,17
717,Marta,Jekot,NA,RSA,16.67,0,1,0,17
717,Natalia,Zbirnea,1980,MDA,16.67,0,1,0,17
721,Laura,Rodríguez Salinas,1999,ESP,16.35,0,2,0,16
722,Lotte,Vandekerckhove,2002,BEL,15.86,1,0,16,0
723,Raphaelle,Rivard,2002,CAN,15.82,0,1,0,16
724,Inga,Aukselyte,1985,LTU,15.42,0,1,0,15
724,Anja,Davidovic,2001,SRB,15.42,0,1,0,15
724,Sarissa,De Vries,1989,NED,15.42,0,1,0,15
724,Federica,Frigerio,1998,ITA,15.42,0,1,0,15
724,Hilary,Hughes,1986,IRL,15.42,0,1,0,15
724,Sofya,Kryvetskaya,2001,BLR,15.42,0,1,0,15
724,Aoi,Kuramoto,1988,JPN,15.42,0,1,0,15
724,Cercasina,Nadejda,1973,MDA,15.42,0,1,0,15
724,Ipek,Oztosun,1994,TUR,15.42,0,1,0,15
724,Riana,Robertson,1983,RSA,15.42,0,1,0,15
724,Paula-Brit,Siimar,1997,EST,15.42,0,1,0,15
735,Yeva,Minich,2002,BLR,15.04,0,2,0,15
736,Hanna,Breitner,2002,HUN,14.67,1,0,15,0
737,Sarahí,Macias Arevalo,2004,MEX,14.63,0,1,0,15
738,Molly,Elliott,2001,USA,14.39,0,1,0,14
739,Emma,Ducreux,1999,FRA,14.34,0,2,0,14
740,Aişenur,Acar,2000,TUR,14.26,0,1,0,14
740,Anni,Antikainen,1988,FIN,14.26,0,1,0,14
740,Liliia,Baranovska,1993,UKR,14.26,0,1,0,14
740,Darya,Bychkova,1996,KAZ,14.26,0,1,0,14
740,Hana,Kolarova,1988,CZE,14.26,0,1,0,14
740,Daniela,Olivares,NA,URU,14.26,0,1,0,14
740,Eleonora,Peroncini,1985,ITA,14.26,0,1,0,14
740,Antonelle,Saporta,NA,RSA,14.26,0,1,0,14
748,María Alejandra,Coral Mejia,2003,COL,13.62,0,1,0,14
749,Nóra,Medvegy,2002,HUN,13.57,1,0,14,0
750,Lucia,Gazol Torres,2002,MEX,13.53,0,1,0,14
751,Skye,Wallace,2003,AUS,13.39,0,1,0,13
752,Tombrapa,Grikpa,NA,NGR,13.33,0,1,0,13
752,Justine,Guerard,1994,FRA,13.33,0,1,0,13
752,Elisabeth,Mondon,1979,JAM,13.33,0,1,0,13
752,Julia,Quarezemin Freccia,1998,BRA,13.33,0,1,0,13
752,Aleksandra,Tanasoska,1999,MKD,13.33,0,1,0,13
752,Amanda,Wheatley,1978,SAM,13.33,0,1,0,13
752,Marlene,Wulst,2001,NOR,13.33,0,1,0,13
759,Christine,Harding,NA,RSA,13.19,0,1,0,13
759,Margaryta,Krylova,1994,UKR,13.19,0,1,0,13
759,Aino,Kuljukka,1999,FIN,13.19,0,1,0,13
759,Monika,Peterka,1997,SLO,13.19,0,1,0,13
759,Indre,Sabaliunaite,NA,LTU,13.19,0,1,0,13
759,Margie,Santimaria,1989,ITA,13.19,0,1,0,13
759,Konami,Ushioda,1997,JPN,13.19,0,1,0,13
766,Anri,Krugel,1995,"NAM",12.5,0,1,0,13
766,Sandra,Mairhofer,1992,ITA,12.5,0,1,0,13
766,Stavri,Pericleous,1989,CYP,12.5,0,1,0,13
769,Charlotte,Brown,2004,NZL,12.38,0,1,0,12
770,Ines Zineb,Aichour,1986,ALG,12.33,0,1,0,12
770,Jozanne,Harris,1980,JAM,12.33,0,1,0,12
772,Diede,Diederiks,1991,NED,12.2,0,1,0,12
772,Helena,Kotopulu,1980,CZE,12.2,0,1,0,12
772,Minami,Kubono,1997,JPN,12.2,0,1,0,12
772,Valentyna,Molchanets,1996,UKR,12.2,0,1,0,12
772,Sara,Savoia,2001,ITA,12.2,0,1,0,12
772,Jordan,Tissink,2001,RSA,12.2,0,1,0,12
772,Maisa,Tuliniemi,1996,FIN,12.2,0,1,0,12
772,Ieva,Urbonavičiūtė,1993,LTU,12.2,0,1,0,12
780,Lola,Sauvet,2002,FRA,12.17,0,2,0,12
781,Imke,Jagau,1990,"NAM",11.56,0,1,0,12
782,Joana,Miranda,2000,POR,11.55,0,1,0,12
783,Grace,Henry,2006,AUS,11.45,0,1,0,11
784,Julie,Iemmolo,1999,FRA,11.41,0,1,0,11
785,Kateřina,Hadravova,2005,CZE,10.97,1,0,11,0
786,Sophie,Burger,2005,AUS,10.92,0,1,0,11
787,Benita,Windisch,1985,"NAM",10.7,0,1,0,11
788,Lena-Maria,Aichner,1993,AUT,10.55,0,1,0,11
788,Ana,Lucic,2001,CRO,10.55,0,1,0,11
790,Hannah,Sakaluk,1997,USA,9.84,0,1,0,10
791,Roni,Cohen,2001,ISR,9.76,0,1,0,10
791,Klara,Hofer Mattsson,2000,SWE,9.76,0,1,0,10
791,Méline,Mageux,2002,FRA,9.76,0,1,0,10
791,Joana,Oliveira,2001,POR,9.76,0,1,0,10
791,Aurora,Valinčić,2005,CRO,9.76,0,1,0,10
796,Maja,Wąsik,2004,POL,8.68,1,0,9,0
797,Kira,Stanley,2000,USA,8.42,0,1,0,8
798,Elena Maria,Petrini,1992,ITA,8.34,0,1,0,8
798,Laura,Swannet,1999,BEL,8.34,0,1,0,8
800,Paola,Sacchi,2003,ITA,8.06,0,1,0,8
801,Dóra,Pusztai,2006,HUN,8.03,1,0,8,0
802,Sonia,Ruiz Melguizo,1991,ESP,7.72,0,1,0,8
803,Rosie,Allen,2000,GBR,7.63,0,1,0,8
804,Kristýna,Dvořáková,2005,CZE,7.43,1,0,7,0
